,artists_song,track_id
295,No Chill by Duckwrth,6J1qFWHFbmMgz0A6o10Xaq
296,Another Life (feat. FLETCHER & Josh Golden) by Surf Mesa,3ng7epefERNazaZkkbwLdq
297,Elvis Song by Maisie Peters,6MWH5jDoS1wpMPz8CwuC3N
298,We Outside by Duckwrth,16IpP0KkGPR8gJxEwlj8Pu
299,No One In The World by Michael Dión,4BpuLPCtpHdTNn1RjEqRVW
300,It's a Wrap by Tinashe,2eGxKWx0sgrsyNgHcvXnJK
301,On God (feat. Gucci Mane & Cootie) by BiC Fizzle,0wtZkvnQhOdsDx99OMyFuI
302,Ghost (feat. Hardy Caprio) - Refix by Rudimental,1MwFviJGRINOL8hQHJuw2j
303,No Chill by Duckwrth,5fYDLErKqFtYsnuap5rPnR
304,Never Seen by Angel Haze,3yaGfhhC84R5ivUeuuBWfU
305,Hourglass (with Baby Tate) by James Vickery,58LdWh8ptJ4JBJ3SwBINjn
306,Voices by Calabasas,5vZ9IyT4e6K4ePtor70TV9
307,Undo (Back To My Heart) by Tinashe,1rC73SzixUBSQL9Ldf5ZOr
308,1080p by Elujay,2Km5bvWLnzHTGZFkcZdXwo
309,ベテルギウス by Yuuri,2sf18cEv463VgqmdjDsFpw
310,ドライフラワー by Yuuri,7dH0dpi751EoguDDg3xx6J
311,残響散歌 by Aimer,7v8wKvNQQIxkugCFFjrkaO
312,なんでもないよ、 by Macaroni Empitsu,2PFzK3kMDDYKhGnugvNYf1
313,Butter by BTS,1mWdTewIgB3gtBM3TOSFhB
314,水平線 by back number,5m1i6hq7dmRlp3c1utE48L
315,一途 by King Gnu,7ncPjJBktLEOpstY5JOUMK
316,Dynamite by BTS,5QDLhrAOJJdNAmCTJ8xMyW
317,君に夢中 by Hikaru Utada,3mRNkUTu4ItqQ6GXy7L7KF
318,夜に駆ける by YOASOBI,6MCjmGYlw6mQVWRFVgBRvB
319,Cry Baby by Official HIGE DANdism,6wDntdm888mDo458RaYjGl
320,群青 by YOASOBI,1zd35Y44Blc1CwwVbW3Qnk
321,Permission to Dance by BTS,3XYRV7ZSHqIRDG87DKTtry
322,シャッター by Yuuri,6VwpOZpqx8IqoF201VGAp8
323,きらり by Fujii Kaze,3ciqhcLmXP4hVGBD98QlEj
324,勿忘 by Awesome City Club,0XZyF9lv6diMt4bxThOL0h
325,ハート by Aimyon,6cvKfEw8rDcmXBslqSEC9G
